Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
06-12,LG,1회말,손주영,4 박병호,5 (3-1),우익수 플라이 아웃,2사 1루 0:0,이닝종료 0:0,0.79,0.242,-0.242,50.0%,-0.022
05-18,LG,2회말,최원태,5 박병호,3 (0-2),1루수 파울플라이 아웃,무사  3:0,1사  3:0,0.87,0.560,-0.268,22.6%,-0.022
06-15,NC,1회초,하트,4 박병호,4 (1-2),선행주자아웃 출루,2사 1루 0:0,이닝종료 0:0,0.79,0.239,-0.239,54.8%,-0.022
08-06,한화,8회말,이민우,1 박병호,1 (0-0),투수 땅볼 아웃,2사 1루 8:5,이닝종료 8:5,0.74,0.239,-0.239,3.3%,-0.022
03-28,두산,5회말,김동주,4 박병호,5 (2-2),루킹 삼진,무사  4:5,1사  4:5,0.84,0.535,-0.260,68.9%,-0.021
03-23,삼성,4회말,코너,4 박병호,6 (2-2),헛스윙 삼진,무사  1:2,1사  1:2,0.83,0.529,-0.258,66.6%,-0.021
06-11,LG,5회말,이우찬,4 박병호,6 (3-2),중견수 플라이 아웃,무사 1루 1:3,1사 1루 1:3,0.89,0.970,-0.416,81.6%,-0.021
03-27,두산,5회말,최원준,4 박병호,2 (1-0),좌익수 플라이 아웃,무사  9:5,1사  9:5,0.76,0.529,-0.258,9.9%,-0.019
06-11,LG,7회말,우강훈,4 박병호,5 (2-2),루킹 삼진,무사  4:5,1사  4:5,0.75,0.564,-0.268,77.2%,-0.019
07-04,KIA,7회말,황동하,6 박병호,6 (3-2),헛스윙 삼진,무사  2:3,1사  2:3,0.75,0.579,-0.278,77.2%,-0.019
04-14,SSG,7회말,고효준,8 박병호,4 (1-2),루킹 삼진,무사 1루 6:1,1사 1루 6:1,0.81,0.951,-0.416,3.8%,-0.018
03-29,한화,4회초,류현진,4 박병호,4 (1-2),헛스윙 삼진,1사  0:2,2사  0:2,0.72,0.271,-0.167,77.8%,-0.018
04-21,롯데,4회초,나균안,6 박병호,3 (0-2),헛스윙 삼진,1사  1:3,2사  1:3,0.72,0.275,-0.169,77.8%,-0.018
04-03,KIA,7회말,장현식,9 박병호,5 (2-2),헛스윙 삼진,2사 2루 5:1,이닝종료 5:1,0.61,0.388,-0.388,3.5%,-0.018
04-19,롯데,2회초,반즈,5 박병호,1 (0-0),유격수 땅볼 아웃,1사  0:1,2사  0:1,0.68,0.274,-0.167,64.7%,-0.017
06-15,NC,6회초,배재환,4 박병호,6 (2-2),헛스윙 삼진,무사  3:1,1사  3:1,0.66,0.569,-0.270,23.4%,-0.017
07-12,두산,6회초,이영하,6 박병호,4 (1-2),루킹 삼진,무사  6:4,1사  6:4,0.66,0.580,-0.278,23.4%,-0.017
04-10,NC,2회초,김시훈,5 박병호,5 (1-2),좌익수 플라이 아웃,1사  0:0,2사  0:0,0.65,0.273,-0.168,54.0%,-0.016
04-26,SSG,2회초,오원석,5 박병호,5 (2-2),헛스윙 삼진,1사  0:0,2사  0:0,0.65,0.277,-0.168,54.0%,-0.016
06-26,LG,2회초,엔스,5 박병호,6 (3-2),헛스윙 삼진,1사  0:0,2사  0:0,0.65,0.302,-0.183,54.0%,-0.016
08-07,한화,7회말,이상규,7 박병호,4 (1-2),루킹 삼진,1사 2루 6:8,2사 2루 6:8,0.56,0.814,-0.419,88.3%,-0.016
07-02,KIA,2회말,네일,7 박병호,2 (1-0),중견수 플라이 아웃,무사  0:2,1사  0:2,0.62,0.580,-0.278,73.4%,-0.016
06-20,SSG,4회말,송영진,7 박병호,4 (2-1),3루수 땅볼 아웃,무사  0:2,1사  0:2,0.60,0.575,-0.272,77.4%,-0.015
05-19,LG,2회말,손주영,5 박병호,3 (0-2),루킹 삼진,1사  3:0,2사  3:0,0.60,0.293,-0.175,21.1%,-0.015
06-05,SSG,8회초,노경은,4 박병호,2 (1-0),3루수 땅볼 아웃,1사  3:6,2사  3:6,0.54,0.297,-0.179,96.7%,-0.014
06-12,LG,8회말,이지강,4 박병호,3 (0-2),헛스윙 삼진,무사  4:5,1사  4:5,0.53,0.567,-0.270,85.5%,-0.014
04-10,NC,4회초,김시훈,5 박병호,4 (1-2),3루수 땅볼 아웃,2사  0:1,이닝종료 0:1,0.51,0.105,-0.105,68.8%,-0.013
04-19,롯데,4회초,반즈,5 박병호,2 (1-0),좌익수 플라이 아웃,1사  3:1,2사  3:1,0.51,0.274,-0.167,29.7%,-0.013
06-07,키움,3회초,조영건,4 박병호,2 (0-1),3루수 땅볼 아웃,1사  3:1,2사  3:1,0.51,0.296,-0.178,31.5%,-0.013
