Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
03-29,SSG,2회말,김광현,9 김영웅,4 (3-0),4구,"2사 1,2루 4:1",2사 만루 4:1,1.59,0.484,0.444,27.6%,0.033
07-18,KIA,3회초,알드레드,3 김영웅,1 (0-0),3루수 방면 번트 내야 안타,무사  3:2,무사 1루 3:2,0.87,0.584,0.438,35.2%,0.034
07-18,KIA,1회초,알드레드,3 김영웅,1 (0-0),사구,1사 1루 0:0,"1사 1,2루 0:0",1.15,0.569,0.526,46.2%,0.036
04-24,LG,6회말,켈리,6 김영웅,3 (0-2),중견수 방면 2루타,"무사 1,2루 0:3","무사 2,3루 0:4",0.53,1.627,1.560,97.7%,0.036
04-05,KIA,5회초,크로우,7 김영웅,4 (3-0),4구,1사  0:1,1사 1루 0:1,0.91,0.283,0.263,63.7%,0.036
05-12,NC,6회초,이재학,4 김영웅,3 (1-1),우익수 방면 1루타,1사  2:2,1사 1루 2:2,0.98,0.305,0.276,49.7%,0.037
06-09,키움,5회초,헤이수스,6 김영웅,1 (0-0),좌익수 방면 1루타,무사  1:0,무사 1루 1:0,0.94,0.563,0.409,32.2%,0.037
06-05,SSG,2회초,앤더슨,5 김영웅,5 (3-1),4구,무사  0:0,무사 1루 0:0,0.93,0.567,0.416,46.2%,0.038
07-24,한화,2회초,류현진,5 김영웅,2 (0-1),우익수 방면 1루타,무사  0:0,무사 1루 0:0,0.93,0.589,0.437,46.2%,0.038
04-21,한화,4회초,산체스,5 김영웅,3 (2-0),우익수 방면 1루타,1사 1루 0:3,"1사 1,2루 0:3",1.15,0.551,0.453,77.6%,0.039
04-02,키움,3회말,김선기,8 김영웅,6 (3-2),4구,무사  0:0,무사 1루 0:0,0.99,0.540,0.420,59.5%,0.040
04-18,두산,3회말,곽빈,5 김영웅,1 (0-0),우익수 뒤 홈런,1사  0:4,1사  0:5,0.22,0.276,1.000,93.0%,0.040
04-10,롯데,8회초,김상수,6 김영웅,2 (0-1),중견수 방면 1루타,무사  4:7,무사 1루 4:7,0.88,0.558,0.423,88.9%,0.042
04-13,NC,4회말,하트,6 김영웅,5 (2-2),우익수 방면 1루타,1사 1루 1:1,"1사 1,2루 1:1",1.43,0.551,0.443,60.5%,0.042
06-01,한화,4회말,조동욱,5 김영웅,5 (3-1),4구,무사  3:3,무사 1루 3:3,1.07,0.567,0.418,60.2%,0.042
