Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
06-25,LG,9회초,켈리,7 윤정빈,2 (0-1),중견수 방면 1루타,무사  0:4,무사 1루 0:4,0.34,0.575,0.416,96.8%,0.018
07-12,두산,6회초,이영하,7 윤정빈,2 (0-1),2루수 포구실책 출루,1사  6:4,1사 1루 6:4,0.49,0.302,0.266,21.6%,0.018
08-03,SSG,3회말,한두솔,2 윤정빈,4 (0-2),중견수 방면 1루타,"1사 1,2루 0:6","1사 2,3루 0:7",0.25,1.120,1.498,98.3%,0.018
07-23,한화,4회초,바리아,7 윤정빈,3 (1-1),우익수 방면 1루타,무사  3:0,무사 1루 3:0,0.50,0.589,0.437,16.3%,0.020
06-20,SSG,1회말,송영진,6 윤정빈,8 (3-2),4구,"2사 1,2루 0:1",2사 만루 0:1,1.42,0.504,0.346,66.6%,0.025
08-01,LG,4회초,임찬규,2 윤정빈,5 (3-1),4구,1사 1루 2:0,"1사 1,2루 2:0",0.92,0.581,0.544,23.9%,0.027
06-18,SSG,6회말,앤더슨,6 윤정빈,5 (3-1),4구,1사  5:2,1사 1루 5:2,0.70,0.300,0.262,16.2%,0.031
06-18,SSG,8회말,노경은,6 윤정빈,2 (1-0),우익수 방면 1루타,1사  6:3,1사 1루 6:3,0.65,0.300,0.262,8.8%,0.031
06-20,SSG,8회말,문승원,6 윤정빈,2 (0-1),좌익수 뒤 홈런,무사  0:2,무사  0:3,0.23,0.575,1.000,97.3%,0.033
07-24,한화,7회초,류현진,6 윤정빈,5 (2-2),좌익수 방면 1루타,무사  1:0,무사 1루 1:0,0.98,0.589,0.437,26.7%,0.037
07-12,두산,4회초,곽빈,7 윤정빈,7 (3-2),4구,무사  4:4,무사 1루 4:4,1.08,0.580,0.427,45.7%,0.043
06-14,NC,8회초,김재열,6 윤정빈,4 (2-1),좌익수 방면 2루타,1사  5:4,1사 2루 5:4,0.68,0.299,0.497,23.1%,0.044
06-21,두산,3회말,최준호,7 윤정빈,7 (3-2),4구,무사  1:0,무사 1루 1:0,1.08,0.574,0.419,47.8%,0.044
07-13,두산,8회초,최지강,8 윤정빈,1 (0-0),중견수 방면 1루타,1사  4:6,1사 1루 4:6,0.97,0.301,0.268,85.8%,0.045
08-02,SSG,9회말,이로운,2 윤정빈,4 (3-0),4구,"2사 1,2루 3:3",2사 만루 3:3,4.37,0.500,0.328,65.9%,0.047
07-26,KT,8회말,김민,7 윤정빈,6 (3-2),4구,무사  4:1,무사 1루 4:1,1.05,0.588,0.437,13.4%,0.049
06-16,NC,5회초,김시훈,8 윤정빈,6 (0-2),우익수 방면 1루타,무사  1:2,무사 1루 1:2,1.27,0.569,0.410,58.9%,0.052
07-14,두산,5회초,발라조빅,6 윤정빈,6 (3-2),4구,무사  0:1,무사 1루 0:1,1.27,0.581,0.429,58.9%,0.052
08-08,한화,5회말,문동주,2 윤정빈,4 (1-2),투수 포구실책 출루,무사  3:2,무사 1루 3:2,1.36,0.597,0.449,46.7%,0.055
06-30,KT,9회초,박영현,7 윤정빈,7 (3-2),4구,1사 2루 1:2,"1사 1,2루 1:2",4.05,0.805,0.260,71.9%,0.055
08-06,한화,1회말,바리아,2 윤정빈,4 (1-2),중견수 방면 1루타,무사 1루 1:0,"무사 1,2루 1:0",1.53,1.041,0.638,54.2%,0.059
08-08,한화,1회말,문동주,2 윤정빈,3 (0-2),사구,무사 1루 2:0,"무사 1,2루 2:0",1.54,1.046,0.633,44.6%,0.060
06-12,LG,7회말,김진수,8 윤정빈,4 (2-1),우익수 방면 1루타,무사  4:3,무사 1루 4:3,1.91,0.567,0.411,43.7%,0.077
06-23,두산,8회말,이병헌,9 윤정빈,3 (1-1),2루수 땅볼 아웃,"1사 2,3루 4:4",2사 3루 4:5,3.14,1.539,-0.118,86.4%,0.087
06-26,LG,8회초,김진성,9 윤정빈,1 (0-0),사구,무사  0:1,무사 1루 0:1,2.16,0.577,0.417,66.1%,0.087
08-03,SSG,1회말,송영진,2 윤정빈,4 (0-2),투수 방면 1루타,무사 1루 0:0,"무사 1,3루 0:0",1.42,1.040,0.988,67.1%,0.088
08-01,LG,1회초,임찬규,2 윤정빈,5 (2-2),좌익수 방면 1루타,무사 1루 0:0,"무사 1,3루 0:0",1.44,1.036,1.002,37.6%,0.089
06-11,LG,4회말,정지헌,8 윤정빈,5 (2-2),중견수 방면 1루타,2사 2루 1:2,2사 1루 1:3,1.15,0.397,0.844,77.1%,0.098
08-02,SSG,8회말,노경은,2 윤정빈,1 (0-0),우익수 뒤 홈런,1사  3:1,1사  3:2,1.15,0.305,1.000,24.0%,0.122
06-14,NC,4회초,신민혁,6 윤정빈,6 (3-2),우중간 홈런,2사  1:2,2사  2:2,0.51,0.118,1.000,54.7%,0.128
06-21,두산,4회말,최준호,7 윤정빈,2 (0-1),우중간 홈런,2사 1루 1:3,2사  1:5,0.58,0.237,1.883,90.3%,0.132
08-06,한화,4회말,바리아,2 윤정빈,5 (3-1),좌중간 홈런,2사  4:3,2사  4:4,0.55,0.118,1.000,51.3%,0.140
07-21,롯데,8회말,김상수,8 윤정빈,5 (2-2),좌익수 방면 1루타,"1사 1,2루 5:3","1사 1,2루 5:4",4.11,1.106,1.000,40.4%,0.153
06-13,LG,5회말,켈리,9 윤정빈,5 (2-2),중견수 방면 2루타,1사 1루 2:2,1사 2루 2:3,1.56,0.561,1.232,72.9%,0.160
07-23,한화,8회초,한승혁,7 윤정빈,1 (0-0),중견수 방면 1루타,2사 3루 4:4,2사 1루 5:4,3.26,0.429,0.798,27.9%,0.238
