Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
05-25,롯데,6회초,최준용,1 구자욱,3 (1-1),1루수 방면 내야 안타,2사 3루 5:5,2사 1루 6:5,2.16,0.434,0.807,36.6%,0.150
06-16,NC,5회초,김시훈,3 구자욱,2 (1-0),2루수 방면 2루타,"2사 1,3루 1:2","2사 2,3루 2:2",2.54,0.525,1.091,48.7%,0.153
04-10,롯데,6회초,윌커슨,3 구자욱,7 (2-2),우익수 뒤 홈런,무사 1루 1:4,무사  3:4,1.65,0.981,1.577,66.3%,0.163
04-16,두산,1회말,박소준,3 구자욱,2 (1-0),중견수 뒤 홈런,1사 1루 0:0,1사  0:2,1.16,0.554,1.744,72.0%,0.170
03-31,SSG,6회말,더거,3 구자욱,5 (1-2),중견수 방면 1루타,2사 2루 3:2,2사 1루 3:3,2.11,0.386,0.836,53.6%,0.171
06-07,키움,3회초,조영건,3 구자욱,3 (1-1),우익수 뒤 홈런,1사 1루 1:1,1사  3:1,1.33,0.552,1.744,30.2%,0.195
06-14,NC,7회초,김재열,3 구자욱,5 (3-1),우익수 방면 2루타,"2사 1,2루 4:4","2사 2,3루 5:4",2.93,0.507,1.117,29.6%,0.217
04-10,롯데,8회초,김원중,3 구자욱,4 (1-2),중견수 방면 1루타,"2사 1,3루 6:7","2사 1,2루 7:7",4.40,0.575,0.926,51.6%,0.231
06-04,SSG,8회초,문승원,3 구자욱,5 (2-2),2루수 방면 2루타,2사 만루 1:1,"2사 2,3루 3:1",5.64,0.909,1.708,13.0%,0.335
06-12,LG,7회말,이지강,3 구자욱,4 (2-1),좌익수 방면 2루타,"2사 1,2루 4:3",이닝종료 4:5,3.66,0.504,-0.504,74.8%,0.402
