Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
06-25,LG,6회초,켈리,8 강민호,4 (1-2),유격수 땅볼 아웃,1사  0:4,2사  0:4,0.40,0.303,-0.183,94.7%,-0.010
06-09,키움,2회초,헤이수스,7 강민호,4 (1-2),우익수 플라이 아웃,2사  1:0,이닝종료 1:0,0.39,0.119,-0.119,44.0%,-0.010
04-30,두산,2회초,곽빈,6 강민호,6 (3-2),낫아웃 삼진,2사  0:2,이닝종료 0:2,0.39,0.118,-0.118,75.0%,-0.010
06-12,LG,8회말,이지강,5 강민호,4 (1-2),루킹 삼진,1사  4:5,2사  4:5,0.40,0.297,-0.178,84.5%,-0.010
05-18,한화,5회말,윤대경,7 강민호,3 (0-2),우익수 플라이 아웃,2사 1루 4:7,이닝종료 4:7,0.35,0.239,0.761,86.7%,-0.010
05-21,KT,7회말,김민,8 강민호,3 (1-1),3루수 땅볼 아웃,2사  4:1,이닝종료 4:1,0.38,0.118,-0.118,6.9%,-0.010
04-05,KIA,7회초,이형범,5 강민호,2 (0-1),유격수 땅볼 아웃,무사  0:5,1사  0:5,0.35,0.550,-0.267,97.9%,-0.009
04-16,두산,6회말,박치국,5 강민호,8 (3-2),좌익수 플라이 아웃,"2사 1,2루 3:7",이닝종료 3:7,0.32,0.513,-0.513,94.3%,-0.008
04-11,롯데,9회초,김상수,7 강민호,2 (0-1),유격수 땅볼 아웃,무사  2:0,1사  2:0,0.29,0.559,-0.269,8.1%,-0.008
04-16,두산,1회말,박소준,5 강민호,4 (2-1),유격수 직선타 아웃,2사  0:2,이닝종료 0:2,0.29,0.119,-0.119,70.1%,-0.008
07-11,NC,7회말,김영규,4 강민호,2 (0-1),유격수 땅볼 아웃,1사  4:6,2사  4:6,0.31,0.302,-0.186,87.2%,-0.008
07-27,KT,7회말,김민수,4 강민호,7 (3-2),헛스윙 삼진,1사  1:3,2사  1:3,0.31,0.301,-0.186,87.2%,-0.008
03-29,SSG,3회말,김광현,4 강민호,3 (0-2),헛스윙 삼진,2사  5:1,이닝종료 5:1,0.29,0.107,-0.107,12.0%,-0.008
07-02,KIA,6회말,장현식,4 강민호,4 (2-1),좌익수 플라이 아웃,무사  1:4,1사  1:4,0.30,0.580,-0.278,90.6%,-0.008
07-28,KT,6회말,우규민,4 강민호,3 (0-2),투수 땅볼 아웃,무사  0:3,1사  0:3,0.30,0.586,-0.284,90.6%,-0.008
04-24,LG,6회말,켈리,9 강민호,1 (0-0),2루수 플라이 아웃,"1사 1,3루 0:5","2사 1,3루 0:5",0.19,1.281,-0.716,97.5%,-0.007
06-13,LG,8회말,켈리,6 강민호,2 (0-1),우익수 플라이 아웃,"2사 1,3루 3:6",이닝종료 3:6,0.24,0.545,-0.545,96.7%,-0.006
07-31,LG,6회초,손주영,4 강민호,5 (1-2),낫아웃 삼진,1사  1:6,2사  1:6,0.25,0.305,-0.189,97.2%,-0.006
08-03,SSG,3회말,한두솔,4 강민호,1 (0-0),3루수 병살타 아웃,"1사 1,3루 0:8",이닝종료 0:8,0.09,1.315,-1.315,98.3%,-0.006
07-10,NC,3회말,카스타노,4 강민호,7 (3-2),헛스윙 삼진,무사  1:6,1사  1:6,0.20,0.579,-0.276,93.0%,-0.005
08-01,LG,8회초,김영준,4 강민호,4 (2-1),좌익수 플라이 아웃,무사 1루 4:0,1사 1루 4:0,0.20,1.036,-0.455,3.4%,-0.005
08-03,SSG,6회말,이건욱,4 강민호,4 (1-2),2루수 병살타 아웃,"무사 1,2루 2:8",2사 3루 2:8,0.08,1.679,-1.250,98.7%,-0.005
06-13,LG,6회말,켈리,6 강민호,1 (0-0),1루수 땅볼 아웃,2사  2:5,이닝종료 2:5,0.16,0.120,-0.120,89.7%,-0.004
06-20,SSG,8회말,서진용,4 강민호,1 (0-0),1루수 파울플라이 아웃,2사 만루 0:4,이닝종료 0:4,0.14,0.850,-0.850,98.6%,-0.004
05-16,SSG,8회초,최민준,9 강민호,1 (0-0),우익수 플라이 아웃,2사  6:3,이닝종료 6:3,0.14,0.119,-0.119,8.4%,-0.004
08-04,SSG,7회말,이로운,2 강민호,3 (2-0),우익수 플라이 아웃,1사 2루 3:7,2사 3루 3:7,0.15,0.801,-0.364,97.1%,-0.004
05-26,롯데,7회초,전미르,6 강민호,5 (3-1),선행주자아웃 출루,2사 1루 1:7,이닝종료 1:7,0.12,0.242,-0.242,99.4%,-0.004
04-09,롯데,8회초,박진형,7 강민호,6 (3-2),우익수 플라이 아웃,무사  5:1,1사  5:1,0.13,0.531,-0.258,3.8%,-0.003
07-30,LG,7회초,이지강,4 강민호,3 (1-1),선행주자아웃 출루,2사 1루 6:1,이닝종료 6:1,0.11,0.237,-0.237,3.7%,-0.003
07-04,KIA,9회말,황동하,4 강민호,3 (0-2),좌익수 플라이 아웃,1사  8:3,2사  8:3,0.08,0.302,-0.184,0.1%,-0.002
04-25,LG,9회말,김유영,8 강민호,3 (2-0),투수 땅볼 아웃,"2사 1,2루 8:2",이닝종료 8:2,0.06,0.503,-0.503,0.0%,-0.002
04-02,키움,7회말,김윤하,6 강민호,1 (0-0),유격수 땅볼 아웃,1사  8:1,2사  8:1,0.07,0.275,-0.168,0.5%,-0.002
05-17,한화,8회말,한승주,8 강민호,3 (1-1),우익수 플라이 아웃,무사 1루 3:7,1사 1루 3:7,0.07,0.977,-0.426,98.9%,-0.002
07-18,KIA,8회초,김승현,4 강민호,5 (1-2),3루수 땅볼 아웃,무사  3:10,1사  3:10,0.06,0.584,-0.283,99.8%,-0.002
06-16,NC,1회초,김시훈,4 강민호,2 (0-1),유격수 땅볼 아웃,"1사 2,3루 0:0",2사 2루 1:0,1.51,1.561,-0.166,41.6%,-0.001
07-17,KIA,9회초,전상현,4 강민호,1 (0-0),2루수 플라이 아웃,2사 1루 5:10,이닝종료 5:10,0.04,0.229,-0.229,100.0%,-0.001
04-17,두산,6회말,최준호,5 강민호,1 (0-0),2루수 병살타 아웃,"1사 1,2루 1:9",이닝종료 1:9,0.02,0.966,-0.966,99.6%,-0.001
06-19,SSG,7회말,최민준,4 강민호,2 (1-0),중견수 플라이 아웃,1사  2:7,2사  2:7,0.04,0.302,-0.183,98.4%,-0.001
07-10,NC,6회말,최성영,4 강민호,2 (1-0),좌익수 플라이 아웃,2사 2루 3:10,이닝종료 3:10,0.04,0.393,-0.393,99.2%,-0.001
04-09,롯데,9회초,박진,7 강민호,3 (1-1),3루수 파울플라이 아웃,"1사 1,3루 7:1","2사 1,3루 7:1",0.03,1.255,-0.710,0.3%,-0.001
05-23,KT,9회말,박영현,2 강민호,1 (0-0),중견수 플라이 아웃,1사 1루 9:2,2사 1루 9:2,0.04,0.549,-0.311,0.0%,-0.001
06-09,키움,8회초,김연주,7 강민호,6 (1-2),헛스윙 삼진,무사  7:1,1사  7:1,0.03,0.563,-0.268,0.9%,-0.001
07-30,LG,9회초,정지헌,4 강민호,3 (0-2),헛스윙 삼진,1사 만루 7:1,2사 만루 7:1,0.02,1.940,-1.118,0.2%,-0.001
03-28,LG,6회초,손주영,5 강민호,4 (1-2),3루수 땅볼 아웃,1사  0:9,2사  0:9,0.02,0.276,-0.168,99.8%,-0.001
08-07,한화,8회말,이민우,4 강민호,2 (1-0),2루수 땅볼 아웃,2사  6:10,이닝종료 6:10,0.02,0.120,-0.120,98.6%,-0.001
05-29,키움,9회말,전준표,2 강민호,3 (1-1),투수 땅볼 아웃,2사 3루 11:5,이닝종료 11:5,0.01,0.432,-0.432,0.0%,-0.001
04-28,키움,9회초,박윤성,5 강민호,3 (1-1),2루수 플라이 아웃,"2사 1,2루 11:5",이닝종료 11:5,0.03,0.499,-0.499,0.3%,-0.001
05-01,두산,9회초,박치국,5 강민호,2 (0-1),2루수 병살타 아웃,무사 1루 9:2,2사  9:2,0.01,1.006,-0.890,0.1%,0.000
08-01,LG,9회초,최동환,4 강민호,3 (0-2),2루수 병살타 아웃,1사 1루 7:0,이닝종료 7:0,0.01,0.581,-0.581,0.1%,0.000
08-03,SSG,7회말,이건욱,4 강민호,3 (2-0),중견수 플라이 아웃,"1사 1,2루 2:12","2사 1,2루 2:12",0.00,1.120,-0.620,100.0%,0.000
04-17,두산,8회말,박치국,5 강민호,4 (2-1),유격수 방면 내야 안타,2사 1루 1:9,"2사 1,2루 1:9",0.00,0.226,0.260,100.0%,0.000
