Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
05-31,한화,2회말,장시환,9 김현준,6 (3-2),루킹 삼진,무사  0:3,1사  0:3,0.46,0.569,-0.271,81.3%,-0.012
04-16,두산,2회말,박소준,7 김현준,5 (3-1),3루수 땅볼 아웃,1사  0:2,2사  0:2,0.45,0.298,-0.179,72.3%,-0.011
07-18,KIA,2회초,알드레드,8 김현준,4 (0-2),헛스윙 삼진,2사  0:0,이닝종료 0:0,0.42,0.117,-0.117,55.1%,-0.011
08-03,SSG,2회말,송영진,9 김현준,1 (0-0),투수 희생번트 아웃,무사 1루 0:2,1사 2루 0:2,0.99,1.040,-0.243,76.4%,-0.011
04-16,두산,3회말,박소준,7 김현준,4 (2-1),1루수 땅볼 아웃,2사 3루 0:5,이닝종료 0:5,0.33,0.431,-0.431,92.4%,-0.009
07-28,KT,7회말,주권,2 김현준,5 (0-2),2루수 땅볼 아웃,2사 2루 0:3,이닝종료 0:3,0.32,0.392,-0.392,93.1%,-0.009
07-31,LG,3회초,손주영,9 김현준,4 (1-2),2루수 땅볼 아웃,2사  0:4,이닝종료 0:4,0.26,0.116,-0.116,89.7%,-0.007
05-04,롯데,7회말,윌커슨,8 김현준,4 (2-1),투수 땅볼 아웃,1사  7:2,2사  7:2,0.24,0.301,-0.185,2.0%,-0.006
04-12,NC,9회말,한재승,1 김현준,6 (1-2),1루수 땅볼 아웃,1사 1루 8:3,2사 2루 8:3,0.21,0.552,-0.152,0.2%,-0.006
04-18,두산,5회말,곽빈,7 김현준,3 (0-2),헛스윙 삼진,2사 2루 0:5,이닝종료 0:5,0.19,0.387,-0.387,95.5%,-0.005
07-30,LG,7회초,임준형,9 김현준,2 (1-0),1루수 희생번트 아웃,무사 1루 4:1,1사 2루 4:1,0.55,1.022,-0.216,9.5%,-0.005
04-02,키움,6회말,김윤하,1 김현준,5 (2-2),좌익수 플라이 아웃,무사  8:1,1사  8:1,0.18,0.540,-0.265,1.2%,-0.005
