Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
07-10,NC,4회말,카스타노,9 류지혁,5 (2-2),우익수 방면 1루타,1사 3루 1:6,1사 1루 1:7,0.29,1.064,0.499,97.0%,0.011
04-28,키움,5회초,문성현,5 류지혁,6 (3-2),좌익수 방면 1루타,무사  6:2,무사 1루 6:2,0.31,0.577,0.417,8.8%,0.012
07-11,NC,8회말,김재열,8 류지혁,1 (0-0),투수 희생번트 송구실책 출루,무사 1루 4:6,"무사 1,2루 4:6",0.36,1.007,0.630,96.2%,0.013
07-27,KT,2회말,벤자민,7 류지혁,6 (3-2),4구,2사  0:0,2사 1루 0:0,0.43,0.116,0.116,52.4%,0.013
08-04,SSG,4회말,김택형,6 류지혁,6 (3-2),4구,2사 1루 2:4,"2사 1,2루 2:4",0.58,0.239,0.262,78.4%,0.013
06-06,SSG,2회초,오원석,6 류지혁,7 (3-2),4구,2사  0:1,2사 1루 0:1,0.42,0.119,0.123,63.3%,0.013
07-30,LG,7회초,임준형,8 류지혁,6 (3-2),4구,무사  4:1,무사 1루 4:1,0.35,0.586,0.436,9.0%,0.014
07-17,KIA,3회초,양현종,9 류지혁,5 (3-1),4구,2사  0:1,2사 1루 0:1,0.46,0.117,0.112,64.4%,0.015
07-28,KT,5회말,조이현,9 류지혁,4 (2-1),우익수 방면 1루타,1사  0:2,1사 1루 0:2,0.42,0.302,0.272,81.6%,0.016
05-17,한화,7회말,한승혁,5 류지혁,5 (2-2),우익수 방면 1루타,"2사 1,2루 2:6","2사 1,3루 2:7",0.21,0.506,1.065,98.6%,0.016
04-30,두산,5회초,곽빈,7 류지혁,5 (2-2),중견수 방면 1루타,2사  0:2,2사 1루 0:2,0.47,0.118,0.117,78.7%,0.016
07-20,롯데,5회말,진해수,2 류지혁,2 (0-1),우익수 방면 1루타,2사 만루 4:10,2사 2루 4:13,0.22,0.809,2.588,99.7%,0.016
04-24,LG,6회말,켈리,5 류지혁,2 (1-0),우익수 방면 1루타,무사 1루 0:3,"무사 1,2루 0:3",0.46,0.961,0.666,94.2%,0.016
05-16,SSG,9회초,한두솔,6 류지혁,5 (3-1),4구,2사 만루 6:3,2사 만루 7:3,0.41,0.856,1.000,1.3%,0.017
07-14,두산,5회초,발라조빅,8 류지혁,5 (3-1),4구,2사  0:1,2사 1루 0:1,0.57,0.117,0.112,67.8%,0.018
06-02,한화,6회말,문동주,6 류지혁,6 (3-2),4구,2사  0:0,2사 1루 0:0,0.68,0.119,0.124,53.6%,0.018
05-31,한화,7회말,김범수,7 류지혁,5 (1-2),우익수 방면 1루타,무사 1루 6:8,"무사 1,2루 6:8",0.62,0.990,0.692,92.7%,0.022
06-05,SSG,8회초,노경은,6 류지혁,4 (2-1),좌익수 방면 1루타,2사 1루 3:6,"2사 1,2루 3:6",0.60,0.241,0.263,93.3%,0.022
05-18,한화,7회말,김규연,5 류지혁,6 (3-2),4구,"1사 1,2루 5:7",1사 만루 5:7,0.83,0.994,0.778,93.0%,0.025
05-23,KT,4회말,원상현,5 류지혁,4 (1-2),좌익수 방면 1루타,무사  5:0,무사 1루 5:0,0.55,0.560,0.422,11.4%,0.025
07-17,KIA,5회초,양현종,9 류지혁,3 (1-1),좌익수 방면 3루타,무사  3:9,무사 3루 3:9,0.30,0.585,0.817,93.9%,0.025
08-01,LG,6회초,임찬규,8 류지혁,6 (3-2),4구,무사  2:0,무사 1루 2:0,0.66,0.592,0.444,19.2%,0.026
06-02,한화,2회말,문동주,6 류지혁,4 (3-0),4구,1사  0:0,1사 1루 0:0,0.67,0.297,0.255,55.3%,0.026
04-20,한화,5회초,황준서,8 류지혁,7 (3-2),4구,1사  1:0,1사 1루 1:0,0.69,0.296,0.257,35.7%,0.026
