Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
06-20,SSG,5회말,송영진,2 이재현,2 (0-1),유격수 땅볼 아웃,1사  0:2,2사  0:2,0.42,0.303,-0.182,79.0%,-0.011
04-18,두산,2회말,곽빈,2 이재현,6 (3-2),헛스윙 삼진,1사 1루 0:4,2사 2루 0:4,0.44,0.538,-0.311,87.1%,-0.010
07-27,KT,7회말,김민수,3 이재현,2 (1-0),2루수 플라이 아웃,무사  1:3,1사  1:3,0.40,0.587,-0.286,87.9%,-0.010
07-30,LG,1회초,엔스,3 이재현,5 (2-2),유격수 땅볼 아웃,2사  0:0,이닝종료 0:0,0.40,0.116,-0.116,54.8%,-0.010
07-31,LG,1회초,손주영,3 이재현,5 (2-2),투수 땅볼 아웃,2사  0:0,이닝종료 0:0,0.40,0.116,-0.116,54.8%,-0.010
05-25,롯데,2회초,김진욱,6 이재현,7 (2-2),헛스윙 삼진,2사  0:2,이닝종료 0:2,0.39,0.118,-0.118,75.0%,-0.010
06-16,NC,9회초,김영규,2 이재현,5 (3-1),좌익수 플라이 아웃,2사  4:3,이닝종료 4:3,0.35,0.119,-0.119,20.0%,-0.009
06-25,LG,7회초,켈리,2 이재현,3 (1-1),중견수 플라이 아웃,1사  0:4,2사  0:4,0.35,0.303,-0.183,96.7%,-0.009
05-01,두산,7회초,김명신,2 이재현,6 (3-2),2루수 땅볼 아웃,무사  5:2,1사  5:2,0.35,0.579,-0.277,11.2%,-0.009
07-13,두산,9회초,김택연,2 이재현,5 (2-2),루킹 삼진,무사  4:8,1사  4:8,0.34,0.585,-0.283,99.5%,-0.009
06-20,SSG,2회말,송영진,2 이재현,4 (1-2),유격수 땅볼 아웃,2사  0:2,이닝종료 0:2,0.30,0.121,-0.121,71.5%,-0.008
05-12,NC,8회초,신영우,9 이재현,7 (3-2),좌익수 플라이 아웃,2사 1루 5:2,이닝종료 5:2,0.25,0.236,-0.236,8.4%,-0.007
07-11,NC,6회말,임정호,2 이재현,3 (1-1),3루수 땅볼 아웃,2사  4:6,이닝종료 4:6,0.26,0.116,-0.116,81.9%,-0.007
07-02,KIA,5회말,네일,2 이재현,4 (1-2),3루수 땅볼 아웃,1사  1:4,2사  1:4,0.27,0.303,-0.185,87.1%,-0.007
04-21,한화,8회초,김규연,2 이재현,5 (1-2),투수 땅볼 아웃,2사  5:3,이닝종료 5:3,0.26,0.119,-0.119,16.2%,-0.007
04-18,두산,4회말,곽빈,2 이재현,4 (1-2),선행주자아웃 출루,"1사 1,2루 0:5","2사 1,3루 0:5",0.34,0.966,-0.406,94.9%,-0.006
05-26,롯데,7회초,전미르,5 이재현,2 (0-1),선행주자아웃 출루,1사 1루 1:7,2사 1루 1:7,0.24,0.549,-0.307,99.0%,-0.006
07-02,KIA,7회말,최지민,2 이재현,4 (1-2),헛스윙 삼진,2사 1루 1:4,이닝종료 1:4,0.21,0.235,-0.235,93.1%,-0.006
04-26,키움,9회초,문성현,2 이재현,3 (0-2),우익수 플라이 아웃,2사 2루 3:0,이닝종료 3:0,0.20,0.386,-0.386,4.1%,-0.006
05-18,한화,3회말,조동욱,6 이재현,3 (0-2),우익수 플라이 아웃,2사  1:4,이닝종료 1:4,0.22,0.118,-0.118,81.8%,-0.006
07-19,롯데,9회말,구승민,2 이재현,3 (0-2),2루수 땅볼 아웃,2사 2루 10:6,이닝종료 10:6,0.18,0.394,-0.394,0.0%,-0.006
05-03,롯데,3회말,나균안,6 이재현,3 (1-1),3루수 땅볼 아웃,무사  0:5,1사  0:5,0.20,0.585,-0.284,93.0%,-0.005
04-16,두산,8회말,김택연,2 이재현,5 (2-2),헛스윙 삼진,1사  5:7,2사  5:7,0.18,0.298,-0.179,93.0%,-0.005
07-10,NC,2회말,카스타노,2 이재현,4 (1-2),헛스윙 삼진,1사  1:6,2사  1:6,0.17,0.302,-0.185,91.2%,-0.004
